Time (s),Temperature (°C)
5949.44,26.88
5949.49,26.88
5949.54,26.88
5949.59,26.88
5949.64,26.88
5949.69,26.88
5949.74,26.88
5949.8,26.88
5949.85,26.88
5949.9,26.88
5949.95,26.88
5950.0,26.88
5950.05,26.88
5950.1,26.88
5950.15,26.88
5950.2,26.88
5950.25,26.88
5950.3,26.88
5950.35,26.88
5950.4,26.88
5950.46,26.88
5950.51,26.88
5950.56,26.88
5950.61,26.88
5950.66,26.88
5950.71,26.88
5950.76,26.88
5950.81,26.88
5950.86,26.88
5950.91,26.88
5950.96,26.88
5951.01,26.88
5951.06,26.88
5951.11,26.88
5951.17,26.88
5951.22,26.88
5951.27,26.88
5951.32,26.88
5951.37,26.88
5951.42,26.88
5951.47,26.88
5951.52,26.88
5951.57,26.88
5951.62,26.88
